"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,112,1,3,0,1,0,0,0,0,-4,2,4,1984,-4,-4,1,4
3,0,0,113,1,3,2,4,1,1,0,1,1,1,4,1984,0,66600,1,4
1,0,0,114,1,-4,-4,-4,1,1,0,0,-4,2,7,1982,0,76716,1,4
1,0,0,115,3,3,20,7,1,0,0,0,-4,2,10,1984,0,-3,1,2
1,0,0,116,2,3,1,4,1,1,1,0,-4,1,10,1984,0,31750,1,1
0,0,0,117,2,1,2,4,1,1,0,0,-4,1,10,1984,0,31750,1,1
1,0,0,118,1,-4,-4,-4,0,0,0,0,-4,1,6,1980,0,98500,1,4
0,0,0,119,1,-4,-4,-4,0,0,0,0,-4,1,9,1982,0,246474,1,4
0,0,0,120,1,-4,-4,-4,0,0,0,0,-4,1,6,1982,-4,-4,1,4
0,0,0,121,1,-4,-4,-4,0,0,0,0,-4,1,12,1981,0,77900,1,4
0,0,0,122,1,1,0,4,0,0,0,0,-4,1,6,1984,0,77900,1,4
0,0,0,123,1,-4,-4,-4,0,0,0,0,-4,1,2,1980,-4,-4,1,4
0,0,0,124,1,-4,-4,-4,0,0,0,0,-4,1,2,1982,-4,-4,1,4
0,0,0,125,1,3,0,4,0,0,0,0,-4,2,5,1984,0,-3,1,4
3,0,0,126,1,-4,-4,-4,1,1,0,1,1,1,5,1981,-4,-4,1,4
0,0,0,127,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,-4,-4,1,4
0,0,0,128,2,-4,-4,-4,0,0,0,0,-4,2,8,1982,0,93000,1,4
0,0,0,129,1,-4,-4,-4,1,0,0,0,-4,2,8,1980,-4,-4,1,4
0,0,0,130,1,-4,-4,-4,0,0,0,0,-4,2,7,1981,-4,-4,1,4
0,0,0,131,1,-4,-4,-4,0,0,0,0,-4,1,10,1980,0,40200,1,4
0,0,0,132,1,3,2,1,0,0,0,0,-4,1,2,1983,0,42047,1,4
0,0,0,133,1,-4,-4,-4,0,0,0,0,-4,1,7,1982,0,51160,1,4
0,0,0,134,1,1,3,4,0,0,0,0,-4,1,4,1984,-4,-4,1,4
0,0,0,135,1,-4,-4,-4,0,0,0,0,-4,1,4,1981,0,72000,1,4
0,0,0,136,1,3,0,4,0,0,0,0,-4,2,9,1983,0,-3,1,4
0,0,0,137,3,-4,-4,-4,0,0,0,0,-4,2,5,1980,1,3400,1,4
0,0,0,138,1,1,0,4,0,0,0,0,-4,1,4,1984,0,-3,1,4
0,0,0,139,1,1,0,1,0,0,0,0,-4,2,7,1984,0,246474,1,4
0,0,0,140,1,3,0,1,0,0,0,0,-4,1,12,1983,0,48750,1,2
0,0,0,141,2,-4,-4,-4,1,0,0,0,-4,2,1,1980,0,-3,1,4
0,0,0,142,2,-4,-4,-4,1,0,0,0,-4,2,1,1981,0,38700,1,4
0,0,0,143,1,-4,-4,-4,1,1,0,0,-4,1,8,1981,0,123000,1,1
2,0,0,144,5,-4,-4,-4,1,0,0,0,-4,1,8,1982,0,69500,1,1
0,0,0,145,1,3,0,4,1,1,0,0,-4,1,4,1984,0,69500,1,1
0,0,0,146,2,1,0,4,1,1,0,0,-4,1,7,1984,0,47000,1,1
0,0,0,147,1,1,0,4,0,0,0,0,-4,2,2,1984,0,35000,1,4
1,0,0,148,2,-4,-4,-4,0,0,0,0,-4,2,10,1982,0,-3,1,1
